Date,Close,Volume
2022-04-19,4.134,313996240
2022-04-20,4.064,390343438
2022-04-21,3.996,792508456
2022-04-22,4.006,617378397
2022-04-25,3.813,1654284344
2022-04-26,3.783,1543759738
2022-04-27,3.889,1372583856
2022-04-28,3.915,1072926129
2022-04-29,4.015,763121189
2022-05-05,4.0,736095393
2022-05-06,3.903,520669718
2022-05-09,3.871,318700633
2022-05-10,3.916,547467162
2022-05-11,3.971,629011561
2022-05-12,3.951,307105783
2022-05-13,3.982,279973247
2022-05-16,3.951,442584342
2022-05-17,4.0,300849564
2022-05-18,3.986,264017324
2022-05-19,3.995,324962036
2022-05-20,4.079,600461424
2022-05-23,4.047,512091273
2022-05-24,3.965,415664500
2022-05-25,3.982,457684097
2022-05-26,3.992,481614068
2022-05-27,4.002,553297211
2022-05-30,4.025,450531920
2022-05-31,4.089,452258118
2022-06-01,4.083,377434508
2022-06-02,4.094,290132608
2022-06-06,4.176,423835904
2022-06-07,4.182,380864188
2022-06-08,4.224,427291052
2022-06-09,4.19,291614828
2022-06-10,4.248,648069142
2022-06-13,4.196,579900248
2022-06-14,4.236,624902550
2022-06-15,4.285,1121885205
2022-06-16,4.258,507512036
2022-06-17,4.321,715647404
2022-06-20,4.342,732434457
2022-06-21,4.34,422401546
2022-06-22,4.29,361964272
2022-06-23,4.365,405693924
2022-06-24,4.413,414833849
2022-06-27,4.461,455981050
2022-06-28,4.513,374882378
2022-06-29,4.458,544835604
2022-06-30,4.508,568051561
2022-07-01,4.493,445571244
2022-07-04,4.521,387421725
2022-07-05,4.511,392115820
2022-07-06,4.452,318962717
2022-07-07,4.468,403045946
2022-07-08,4.464,208249030
2022-07-11,4.388,452207498
2022-07-12,4.352,343539200
2022-07-13,4.359,295600301
2022-07-14,4.36,326414269
2022-07-15,4.295,737307108
2022-07-18,4.341,389115108
2022-07-19,4.319,353527001
2022-07-20,4.331,299838373
2022-07-21,4.286,310492643
2022-07-22,4.289,314768801
2022-07-25,4.271,251676078
2022-07-26,4.3,376254537
2022-07-27,4.276,257178619
2022-07-28,4.279,369581028
2022-07-29,4.22,471265353
2022-08-01,4.238,298391483
2022-08-02,4.167,543973256
2022-08-03,4.122,376662823
2022-08-04,4.153,261750872
2022-08-05,4.218,393385248
2022-08-08,4.204,157282357
2022-08-09,4.211,241824356
2022-08-10,4.166,203763174
2022-08-11,4.254,348050252
2022-08-12,4.255,205589752
2022-08-15,4.245,232822800
2022-08-16,4.235,168483356
2022-08-17,4.276,281022766
2022-08-18,4.239,199968110
2022-08-19,4.209,289441065
2022-08-22,4.236,310932370
2022-08-23,4.222,275877595
2022-08-24,4.145,403161100
2022-08-25,4.181,332510691
2022-08-26,4.175,226855432
2022-08-29,4.15,234594502
2022-08-30,4.141,232094792
2022-08-31,4.141,555279634
2022-09-01,4.107,320251600
2022-09-02,4.084,263737445
2022-09-05,4.082,215865010
2022-09-06,4.111,264101508
2022-09-07,4.119,183572795
2022-09-08,4.101,171632183
2022-09-09,4.159,392975947
2022-09-13,4.173,327431190
2022-09-14,4.127,429913863
2022-09-15,4.09,588844446
2022-09-16,4.0,725780900
2022-09-19,3.989,397790449
2022-09-20,3.991,301514995
2022-09-21,3.961,363488622
2022-09-22,3.932,279846800
2022-09-23,3.924,520249045
2022-09-26,3.899,756033583
2022-09-27,3.949,519160341
2022-09-28,3.893,530081606
2022-09-29,3.894,506083627
2022-09-30,3.868,638378801
2022-10-10,3.789,684109248
2022-10-11,3.786,491380691
2022-10-12,3.848,731512983
2022-10-13,3.815,345140276
2022-10-14,3.903,749629133
2022-10-17,3.902,388760090
2022-10-18,3.895,431134380
2022-10-19,3.836,288162283
2022-10-20,3.824,372305013
2022-10-21,3.802,327572110
2022-10-24,3.704,629793970
2022-10-25,3.688,823516971
2022-10-26,3.716,686287021
2022-10-27,3.69,512397050
2022-10-28,3.604,738137151
2022-10-31,3.565,597656387
2022-11-01,3.703,1069157204
2022-11-02,3.737,751646303
2022-11-03,3.707,488110710
2022-11-04,3.834,1129245726
2022-11-07,3.834,534073373
2022-11-08,3.811,801257895
2022-11-09,3.771,520923983
2022-11-10,3.75,506496368
2022-11-11,3.848,1376702267
2022-11-14,3.85,850966866
2022-11-15,3.925,767183469
2022-11-16,3.896,537797213
2022-11-17,3.879,791622815
2022-11-18,3.866,649194923
2022-11-21,3.833,518248908
2022-11-22,3.831,649025638
2022-11-23,3.834,548791595
2022-11-24,3.816,482148926
2022-11-25,3.837,549215773
2022-11-28,3.792,626091449
2022-11-29,3.908,720706845
2022-11-30,3.911,459485800
2022-12-01,3.956,635412583
2022-12-02,3.933,1030421029
2022-12-05,4.004,876177074
2022-12-06,4.027,765807260
2022-12-07,4.015,682075053
2022-12-08,4.024,509409492
2022-12-09,4.058,647455186
2022-12-12,4.016,466857524
2022-12-13,4.005,363674333
2022-12-14,4.015,621907353
2022-12-15,4.013,530751298
2022-12-16,4.017,908368692
2022-12-19,3.959,745196491
2022-12-20,3.896,815565496
2022-12-21,3.893,523055800
2022-12-22,3.901,687820977
2022-12-23,3.891,1084791027
2022-12-26,3.9,651193684
2022-12-27,3.947,582048797
2022-12-28,3.934,649268983
2022-12-29,3.922,721271003
2022-12-30,3.938,630228576
2023-01-03,3.949,656310782
2023-01-04,3.954,980799721
2023-01-05,4.029,774502293
2023-01-06,4.045,541080825
2023-01-09,4.07,780959941
2023-01-10,4.076,744262224
2023-01-11,4.076,571511439
2023-01-12,4.082,325587208
2023-01-13,4.144,655908997
2023-01-16,4.143,1716375927
2023-01-17,4.139,601513127
2023-01-18,4.13,445690058
2023-01-19,4.158,607432404
2023-01-20,4.181,570082196
2023-01-30,4.205,801347080
2023-01-31,4.159,1139222231
2023-02-01,4.19,715651962
2023-02-02,4.18,1001852833
2023-02-03,4.137,960052104
2023-02-06,4.08,731459703
2023-02-07,4.09,553988104
2023-02-08,4.073,462871301
2023-02-09,4.127,595888582
2023-02-10,4.103,520522436
2023-02-13,4.135,828010137
2023-02-14,4.144,332632366
2023-02-15,4.116,645506758
2023-02-16,4.087,792510051
2023-02-17,4.029,743394922
2023-02-20,4.134,1049525486
2023-02-21,4.139,560902494
2023-02-22,4.099,452945439
2023-02-23,4.099,465559533
2023-02-24,4.06,808776154
2023-02-27,4.045,456957503
2023-02-28,4.071,484545431
2023-03-01,4.12,1180480952
2023-03-02,4.115,439132860
2023-03-03,4.124,420175727
2023-03-06,4.099,929302452
2023-03-07,4.042,674649418
2023-03-08,4.026,431315362
2023-03-09,4.016,407936491
2023-03-10,3.961,498112925
2023-03-13,4.005,467452924
2023-03-14,3.98,463541570
2023-03-15,3.979,393301056
2023-03-16,3.933,433143817
2023-03-17,3.954,1123501196
2023-03-20,3.932,570954757
2023-03-21,3.975,556743661
2023-03-22,3.993,581756157
2023-03-23,4.031,534472929
2023-03-24,4.026,254895254
2023-03-27,4.005,491254674
2023-03-28,3.997,507206125
2023-03-29,3.997,616336308
2023-03-30,4.04,557206977
2023-03-31,4.05,671162479
2023-04-03,4.08,551339698
2023-04-04,4.1,480308724
2023-04-06,4.088,378286841
2023-04-07,4.117,329585683
2023-04-10,4.102,474361579
2023-04-11,4.092,535954987
2023-04-12,4.088,335833687
2023-04-13,4.063,402190738
2023-04-14,4.084,456032644
2023-04-17,4.145,632547999
2023-04-18,4.152,416054295
2023-04-19,4.119,408573024
2023-04-20,4.103,607308636
2023-04-21,4.03,683648627
2023-04-24,3.979,594093664
2023-04-25,3.96,966426771
2023-04-26,3.951,903465326
2023-04-27,3.986,467769671
2023-04-28,4.025,451806234
2023-05-04,4.025,337861124
2023-05-05,4.009,337949905
2023-05-08,4.054,684815156
2023-05-09,4.019,566890688
2023-05-10,3.988,916593316
2023-05-11,3.983,321615029
2023-05-12,3.932,518774522
2023-05-15,3.995,810757396
2023-05-16,3.978,406820310
2023-05-17,3.951,640580508
2023-05-18,3.95,700600219
2023-05-19,3.944,341712585
2023-05-22,3.964,500375723
2023-05-23,3.907,611757337
2023-05-24,3.854,767277616
2023-05-25,3.845,491856745
2023-05-26,3.85,446203660
2023-05-29,3.834,403013549
2023-05-30,3.838,572097944
2023-05-31,3.802,733875712
2023-06-01,3.81,674975697
2023-06-02,3.863,692978097
2023-06-05,3.845,361154926
2023-06-06,3.808,411569703
2023-06-07,3.796,372176673
2023-06-08,3.828,383488893
2023-06-09,3.844,527068856
2023-06-12,3.848,459659336
2023-06-13,3.877,350388028
2023-06-14,3.877,444113622
2023-06-15,3.942,508430549
2023-06-16,3.979,602148804
2023-06-19,3.949,400307379
2023-06-20,3.942,353892342
2023-06-21,3.887,489353700
2023-06-26,3.843,640495600
2023-06-27,3.869,397102074
2023-06-28,3.877,462745613
2023-06-29,3.859,300262647
2023-06-30,3.882,529918250
2023-07-03,3.927,473909707
2023-07-04,3.934,252121289
2023-07-05,3.907,271215241
2023-07-06,3.879,346743884
2023-07-07,3.868,302277670
2023-07-10,3.884,428486811
2023-07-11,3.91,587438934
2023-07-12,3.891,389410768
2023-07-13,3.954,572286552
2023-07-14,3.952,363262103
2023-07-17,3.924,448612566
2023-07-18,3.918,266670716
2023-07-19,3.916,501240659
2023-07-20,3.888,871507069
2023-07-21,3.89,727250149
2023-07-24,3.873,454981986
2023-07-25,3.985,1140982393
2023-07-26,3.976,588038574
2023-07-27,3.972,602465765
2023-07-28,4.068,1496488403
2023-07-31,4.084,1790634998
2023-08-01,4.066,1135981581
2023-08-02,4.037,789439831
2023-08-03,4.073,737931112
2023-08-04,4.094,1422357458
2023-08-07,4.063,1281422408
2023-08-08,4.048,1116579062
2023-08-09,4.04,1332507901
2023-08-10,4.045,938250908
2023-08-11,3.95,1288559813
2023-08-14,3.923,1038600330
2023-08-15,3.919,816519410
2023-08-16,3.889,855849476
2023-08-17,3.902,1156118339
2023-08-18,3.852,1275546546
2023-08-21,3.8,1100924357
2023-08-22,3.823,1331528873
2023-08-23,3.768,1082419722
2023-08-24,3.791,952654779
2023-08-25,3.784,1174535468
2023-08-28,3.837,2822011765
2023-08-29,3.859,2194052531
2023-08-30,3.858,1036132286
2023-08-31,3.839,838468826
2023-09-01,3.862,792692488
2023-09-04,3.92,1185523274
2023-09-05,3.893,629770096
