index_key,index_label,period,start,end,direction,n_obs,lag,ks_stat,pvalue,reject,stars,cv_5,n_eff,elapsed
csi300,CSI 300,2019-2022,2019-09-27,2022-09-26,V_t -> P_t,726,10,1.1124096396394925,0.05305305305305305,False,*,1.1193199368545814,716,16.048868499998207
csi300,CSI 300,2020-2023,2020-09-27,2023-09-26,V_t -> P_t,728,1,0.7611152478651931,0.43343343343343343,False,,1.2618440877420523,727,5.658236200000829
csi300,CSI 300,2020-2023,2020-09-27,2023-09-26,V_t -> P_t,728,2,1.218050700911232,0.32732732732732733,False,,1.6238833093036527,726,6.578483499997674
csi300,CSI 300,2020-2023,2020-09-27,2023-09-26,V_t -> P_t,728,3,1.5118290505804177,0.11411411411411411,False,,1.6728499722336285,725,7.269414200000028
csi300,CSI 300,2020-2023,2020-09-27,2023-09-26,V_t -> P_t,728,4,1.3053344626436,0.3073073073073073,False,,1.6739094200818894,724,8.047418199999811
csi300,CSI 300,2020-2023,2020-09-27,2023-09-26,V_t -> P_t,728,5,1.1225908440126942,0.7977977977977978,False,,1.8015217401903112,723,8.958100199997716
csi300,CSI 300,2020-2023,2020-09-27,2023-09-26,V_t -> P_t,728,6,0.9332379838189105,0.8748748748748749,False,,1.601525415663148,722,9.81603510000059
csi300,CSI 300,2020-2023,2020-09-27,2023-09-26,V_t -> P_t,728,7,0.7181136469231357,0.995995995995996,False,,1.5892731121317614,721,11.463105899998482
csi300,CSI 300,2020-2023,2020-09-27,2023-09-26,V_t -> P_t,728,8,1.0899943493485733,0.38238238238238237,False,,1.4173177149703218,720,11.591600200001267
csi300,CSI 300,2020-2023,2020-09-27,2023-09-26,V_t -> P_t,728,9,1.2368535094733948,0.0890890890890891,False,*,1.2938858502198878,719,14.112171900000249
csi300,CSI 300,2020-2023,2020-09-27,2023-09-26,V_t -> P_t,728,10,0.7736368773776363,0.6016016016016016,False,,1.108234465917937,718,16.121130799998355
csi300,CSI 300,2021-2024,2021-09-27,2024-09-26,V_t -> P_t,727,1,1.0948333239600583,0.12612612612612611,False,,1.2663689836340197,726,5.505698000000848
csi300,CSI 300,2021-2024,2021-09-27,2024-09-26,V_t -> P_t,727,2,1.3887215482824735,0.1091091091091091,False,,1.5649264955479885,725,6.511130399998365
csi300,CSI 300,2021-2024,2021-09-27,2024-09-26,V_t -> P_t,727,3,1.0950857480868246,0.4744744744744745,False,,1.5649361722742978,724,7.056416800001898
csi300,CSI 300,2021-2024,2021-09-27,2024-09-26,V_t -> P_t,727,4,1.2929094072161578,0.3103103103103103,False,,1.653486233825306,723,7.747258499999589
csi300,CSI 300,2021-2024,2021-09-27,2024-09-26,V_t -> P_t,727,5,1.35108419702896,0.42742742742742745,False,,1.7983667926368276,722,9.185177299998031
csi300,CSI 300,2021-2024,2021-09-27,2024-09-26,V_t -> P_t,727,6,0.9209195565399297,0.9279279279279279,False,,1.6311380420373602,721,10.273957100002008
csi300,CSI 300,2021-2024,2021-09-27,2024-09-26,V_t -> P_t,727,7,1.4123337741015662,0.05905905905905906,False,*,1.4340616347103314,720,11.586652699999831
csi300,CSI 300,2021-2024,2021-09-27,2024-09-26,V_t -> P_t,727,8,1.2101523820938345,0.2062062062062062,False,,1.381390483883061,719,12.64048769999863
csi300,CSI 300,2021-2024,2021-09-27,2024-09-26,V_t -> P_t,727,9,0.9529916005542386,0.4874874874874875,False,,1.297791953715424,718,14.583659399999306
csi300,CSI 300,2021-2024,2021-09-27,2024-09-26,V_t -> P_t,727,10,0.8707556972562991,0.24924924924924924,False,,1.049501116831021,717,15.870992899999692
nikkei225,NI 225,2019-2022,2019-09-27,2022-09-26,V_t -> P_t,727,1,1.0055444171601022,0.24924924924924924,False,,1.3928705307825946,726,6.046079600000667
nikkei225,NI 225,2019-2022,2019-09-27,2022-09-26,V_t -> P_t,727,2,0.6742172450882619,0.918918918918919,False,,1.4857772961604678,725,7.315825500001665
nikkei225,NI 225,2019-2022,2019-09-27,2022-09-26,V_t -> P_t,727,3,1.2997125947219228,0.2772772772772773,False,,1.6397962136109954,724,7.59468470000138
nikkei225,NI 225,2019-2022,2019-09-27,2022-09-26,V_t -> P_t,727,4,0.7829340590524756,0.97997997997998,False,,1.7323670662860131,723,8.456820200000948
nikkei225,NI 225,2019-2022,2019-09-27,2022-09-26,V_t -> P_t,727,5,1.1450192779561923,0.5725725725725725,False,,1.6602606047574946,722,9.459607300002972
